,id,date,price,bathrooms,sqft_lot,level
7252,6762700020,2014-10-13,7700000.0,8.0,27600,high_standard
3914,9808700762,2014-06-11,7062500.0,4.5,37325,high_standard
9254,9208900037,2014-09-19,6885000.0,7.75,31374,high_standard
4411,2470100110,2014-08-04,5570000.0,5.75,35069,high_standard
1448,8907500070,2015-04-13,5350000.0,5.0,23985,high_standard
1315,7558700030,2015-04-13,5300000.0,6.0,24829,high_standard
1164,1247600105,2014-10-20,5110800.0,5.25,45517,high_standard
8092,1924059029,2014-06-17,4668000.0,6.75,13068,high_standard
2626,7738500731,2014-08-15,4500000.0,5.5,40014,high_standard
8638,3835500195,2014-06-18,4489000.0,3.0,27517,high_standard
12370,6065300370,2015-05-06,4208000.0,6.0,21540,high_standard
4149,6447300265,2014-10-14,4000000.0,5.5,16573,high_standard
2085,8106100105,2014-11-14,3850000.0,4.25,21300,high_standard
19017,2303900100,2014-09-11,3800000.0,4.25,35000,high_standard
7035,853200010,2014-07-01,3800000.0,5.5,42840,high_standard
16302,7397300170,2014-05-30,3710000.0,3.5,28078,high_standard
6508,4217402115,2015-04-21,3650000.0,4.75,19401,high_standard
18482,4389201095,2015-05-11,3650000.0,3.75,8694,high_standard
15255,2425049063,2014-09-11,3640900.0,3.25,22257,high_standard
19148,3625049042,2014-10-11,3635000.0,6.0,19897,high_standard
2864,4114601570,2014-11-18,3600000.0,3.25,12431,high_standard
21576,9253900271,2015-01-07,3567000.0,4.5,10584,high_standard
5880,2525049148,2014-10-07,3418800.0,5.0,20412,high_standard
7989,9362000040,2014-06-23,3400000.0,4.5,17826,high_standard
10446,1118000320,2015-05-08,3400000.0,4.0,11765,high_standard
13967,3126059023,2015-03-03,3395000.0,3.5,47870,high_standard
20460,9808100150,2015-04-02,3345000.0,3.75,15360,high_standard
18199,3625059152,2014-12-30,3300000.0,3.25,41300,high_standard
18477,1346300150,2014-10-20,3300000.0,4.0,11750,high_standard
14083,3625059043,2014-09-04,3300000.0,4.75,13873,high_standard
18302,6072800246,2014-07-02,3300000.0,6.25,21738,high_standard
2444,7524900003,2014-12-10,3278000.0,1.75,10000,high_standard
20295,251500080,2014-08-26,3204000.0,4.0,18851,high_standard
7907,1068000375,2014-09-23,3200000.0,5.0,18200,high_standard
15482,624069108,2014-08-12,3200000.0,3.25,28206,high_standard
11535,8964800890,2015-01-09,3200000.0,3.25,13363,high_standard
7191,7159200005,2014-05-07,3200000.0,4.5,8856,high_standard
13528,3025059124,2014-08-28,3168750.0,3.5,11979,high_standard
10465,333100295,2014-11-24,3120000.0,3.5,56609,high_standard
12872,2424049029,2014-05-29,3100000.0,4.25,15682,high_standard
7313,4131900066,2014-08-25,3100000.0,3.0,13085,high_standard
16969,3025059093,2014-07-29,3100000.0,5.25,23669,high_standard
300,3225069065,2014-06-24,3075000.0,5.0,18641,high_standard
656,3760500116,2014-11-20,3070000.0,2.5,55867,high_standard
15258,1732800780,2015-02-12,3065000.0,3.0,7500,high_standard
11975,1118000340,2015-04-08,3000000.0,3.75,11265,high_standard
11257,3761100045,2014-06-18,3000000.0,4.25,12445,high_standard
20325,518500480,2014-08-11,3000000.0,3.5,10756,high_standard
21530,8964800330,2015-04-07,3000000.0,3.75,14823,high_standard
2899,9808100100,2015-02-02,3000000.0,3.25,14091,high_standard
20441,1925059254,2015-05-07,2998000.0,4.0,16481,high_standard
10373,3303850390,2014-12-12,2983000.0,5.5,18898,high_standard
20535,1370800515,2014-10-30,2950000.0,4.25,5884,high_standard
2974,3625049014,2014-08-29,2950000.0,3.5,23885,high_standard
3871,2524049166,2014-09-18,2950000.0,4.75,47480,high_standard
18556,6613000930,2014-09-02,2950000.0,3.25,25470,high_standard
20154,1176001310,2015-03-04,2945000.0,4.5,5722,high_standard
18328,5317100750,2014-07-11,2920000.0,4.75,24085,high_standard
6402,2624049091,2015-03-13,2903000.0,2.5,91681,high_standard
269,7960900060,2015-05-04,2900000.0,3.25,20100,high_standard
21040,6447300365,2014-11-13,2900000.0,4.0,14600,high_standard
7933,7159200040,2014-09-17,2900000.0,3.25,4838,high_standard
3813,1118000301,2014-12-19,2890000.0,4.0,7173,high_standard
14556,2303900035,2014-06-11,2888000.0,6.25,64033,high_standard
14030,5316101075,2014-09-26,2885000.0,3.0,14400,high_standard
4190,2303900090,2014-07-29,2880500.0,2.5,32033,high_standard
5449,6065300840,2015-05-01,2850000.0,4.0,17208,high_standard
11620,1069000070,2015-04-15,2795000.0,3.25,12793,high_standard
14052,7397300220,2014-05-29,2750000.0,3.25,21000,high_standard
2267,3859900060,2015-01-12,2750000.0,4.0,16065,high_standard
11446,624069035,2014-12-09,2750000.0,4.0,5575,high_standard
5967,5249800010,2014-12-03,2725000.0,4.25,43838,high_standard
19236,2525049086,2014-10-03,2720000.0,3.25,18115,high_standard
18455,8043700300,2014-06-08,2700000.0,3.25,7850,high_standard
10263,625059036,2014-08-13,2700000.0,4.0,27295,high_standard
6771,5442300807,2014-06-24,2700000.0,2.75,13800,high_standard
19858,2524069078,2015-01-22,2700000.0,4.0,89651,high_standard
20010,856000195,2014-05-21,2700000.0,4.75,8401,high_standard
18793,2525049263,2014-07-09,2680000.0,3.0,20445,high_standard
6714,3126059027,2015-03-18,2650000.0,3.5,13730,high_standard
19777,8084900160,2015-02-12,2641100.0,4.25,16200,high_standard
18409,2397101606,2014-12-08,2630000.0,4.75,7200,high_standard
13710,2923500230,2014-12-16,2600000.0,4.5,12195,high_standard
14822,3623500408,2015-03-30,2600000.0,3.0,16015,high_standard
9322,7768700300,2014-12-05,2575000.0,4.25,15408,high_standard
11952,2260300060,2015-04-10,2575000.0,3.0,20440,high_standard
7432,5316100780,2014-09-22,2575000.0,3.5,3800,high_standard
16817,825059178,2014-09-23,2574000.0,3.75,20424,high_standard
11225,6613000935,2014-05-13,2555000.0,2.5,26211,high_standard
13256,1954700410,2014-08-01,2546000.0,3.0,8805,high_standard
3384,1118001408,2014-11-24,2544750.0,4.75,13431,high_standard
7652,9185700485,2015-04-01,2538000.0,3.5,6000,high_standard
1433,9471200370,2015-03-30,2537000.0,3.0,20000,high_standard
12648,7490000040,2014-07-18,2535000.0,3.25,10626,high_standard
2040,9471200200,2015-03-25,2532000.0,4.25,16048,high_standard
3020,3377900195,2014-09-29,2525000.0,5.5,45100,high_standard
17558,7631800015,2015-04-07,2510000.0,3.25,57990,high_standard
4032,5700003585,2014-12-29,2500000.0,3.25,12672,high_standard
16825,3025300095,2014-10-09,2500000.0,4.5,19844,high_standard
7506,9471200265,2015-05-05,2500000.0,3.25,16224,high_standard
7311,6072800170,2015-04-28,2500000.0,4.0,24354,high_standard
17151,4107100190,2015-03-24,2500000.0,3.75,14850,high_standard
4635,1324049015,2014-11-11,2485000.0,2.5,23954,high_standard
15828,4139420190,2015-05-12,2480000.0,5.0,16909,high_standard
4811,9831200500,2015-03-04,2479000.0,3.75,7500,high_standard
18226,1176001293,2014-06-17,2475000.0,3.25,4947,high_standard
5702,1118002000,2014-06-24,2466350.0,4.75,13180,high_standard
17899,3262300555,2014-07-08,2458000.0,5.25,14986,high_standard
3735,1118000110,2014-05-29,2453500.0,3.5,13586,high_standard
15022,2210500010,2014-09-30,2450000.0,4.25,23115,high_standard
8191,3623500205,2014-05-13,2450000.0,4.5,11023,high_standard
1031,5700004028,2015-04-17,2450000.0,4.25,6552,high_standard
3748,4389201250,2014-05-13,2450000.0,4.0,9000,high_standard
13411,2426039123,2015-01-30,2415000.0,4.75,24250,high_standard
12713,853200040,2015-04-28,2408000.0,2.5,23250,high_standard
4268,251620090,2014-05-30,2400000.0,3.25,20734,high_standard
14513,6169900790,2014-06-20,2400000.0,4.5,10800,high_standard
6195,9185700440,2014-07-28,2400000.0,3.5,7200,high_standard
814,4045100075,2015-03-25,2400000.0,4.25,15188,high_standard
246,2025069065,2014-09-29,2400000.0,2.5,8354,high_standard
4013,724069059,2014-05-09,2400000.0,2.25,11665,high_standard
5617,3880900010,2014-06-04,2400000.0,3.25,9088,high_standard
1945,3398800055,2014-11-19,2400000.0,3.75,24825,high_standard
19484,6072800265,2014-08-13,2395000.0,3.25,19798,high_standard
6041,1725059316,2014-11-20,2385000.0,4.0,13296,high_standard
312,1860600135,2014-05-02,2384000.0,2.5,9050,high_standard
9487,6072800205,2014-11-19,2375000.0,2.5,20251,high_standard
18208,2579500110,2014-07-01,2367000.0,2.25,17450,high_standard
21310,2154970020,2014-07-03,2351960.0,4.25,19412,high_standard
20326,1725059127,2015-02-25,2350000.0,4.25,11547,high_standard
